sentence1_kin,sentence2_kin,human_score
"@HillaryClinton Ese abakungu b'Abasaoudite b'abakire bicisha abaryamana bahuje igitsina, bifatanyije n'ikipe? #Hippocrity #WakeUpAmerica","@SCOTUS_Scalia Ibyo ni byo. Amagambo nta cyo amaze. Kimwe na Clinton, ""Bishingiye ku cyo 'ari' bisobanura"".",0.25
Nta muntu n 'umwe wemeranya ku gihe Intambara ya Gikristo y' U Bufaransa yarangiriye n' Intambara ya Napoleoni zatangiriye .,Intambara za Napoléon ni intambara abantu barwanye mu gihe cy' ubutegetsi bwa Napoléon Bonaparte mu Bufaransa .,0.69
Imbwa eshatu z'ingurube zirushanwa ku muhanda,Abantu batatu bicaye ku meza mato.,0.16
"Nashimishijwe n'uko abagabo n'abagore bari bafite ubwenge bwinshi, ariko bakagira n'imihangayiko.","Sinzi niba ari jye wabanje gusoma Darkfever cyangwa uyu, ariko byombi byabayeho mu gihe kimwe.",0.28
"Muri iki gitabo, Percy Jackson avuga inkuru y'imana z'Abagiriki kandi akayibwira uko imeze.",Sinigeze mba umufana wa Percy Jackson bitewe n'uko Riordan yabonaga ko imigani y'Abagiriki ari ukuri.,0.59
BRAVO TO BOTH YOU BEAUTIFULLY EXPLAINED GUKUNDA # human trafficking bill @SenBlumenthal @DickDurbin #abagore bafite uburenganzira bwo guhitamo,Uyu munsi nshimira uburenganzira bwo kubyara bwemerera imiryango myinshi guhunga ubukene. #abvote,0.44
Ariko Minisitiri w'Intebe yabwiye BBC ko nta kibazo cy'ibyavuye mu matora yari afite kandi ko yari gukomeza gukora ibyo yabonaga ko ari byiza.,"Yavuze ko nta kibazo cy'ibyavuye mu matora yari afite kandi ko yari gukomeza gukora ibyo yabonaga ko ari byiza, haba mu rwego rw'ubutegetsi bw'igihugu no mu rwego rw'igihugu.",0.91
Nabonye ikintu gikomeye mu birebana n'iyo mpuzu nakoragaho.,Nagize amajyambere mu birebana n'uko nkora.,0.97
"Nanone kandi , izakoreshwa mu kwigisha abagenzi gutwara imodoka no kubitaho .","Nanone kandi , ikigo gishinzwe iby' ingufu z' ingufu z' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z ' ingufu z '",0.41
"The Accidental Vampire ni nziza cyane nk'izindi, kandi na zo zirimo umwotsi.","Nanone Elvi yari umuntu wishimye cyane, ufite umutima w'ubushake, uburanga bw'ibyiyumvo n'amategeko y'ibishuko by'ibishuko.",0.38
"Uretse imperuka, nagira ngo iyi nkuru yose nayishyirireho abakunda ubupfumu aho bari hose.","Nkunda cyane iyi nkuru kandi nkunda n'iki gitabo, ariko numvaga ko imperuka yashoboraga gutuma umuntu agira icyo yifuza.",0.75
Ikipe y'igihugu y'umupira w'amaguru y' Kiribati ni ikipe y'igihugu y'umupira w'amaguru y' Kiribati kandi iyoborwa n'Ishyirahamwe ry'umupira w'amaguru ry' Ibirwa bya Kiribati .,"Ikipe y'igihugu y'igihugu y' Iraq ni yo ifite amavubi y'igihugu y' Iraq , kandi iyoborwa n' Ishyirahamwe ry'umupira w'amaguru ry' Iraq .",0.69
"Mbese, imva yawe ni iya nyina wa Agustina?",None se nyina wa Agustina ari mu mva?,0.84
Muri ubwo bubasha bwo kurimbura... harimo n'isezerano ry'ibyiringiro.,Hari icyizere cy'uko ifite ubushobozi bwo kurimbura.,0.75
"Mu by'ukuri, nta muntu w'imfura nk'uwo ushobora kubikora.","Mu by'ukuri, yari kuba ari umukobwa w'imfura.",0.37
"Itegeko rya Karumeli Mukuru ryashingiye ku mategeko ya Salic , yari afite imbaraga nk ' iz' u Bugiriki n' u Roma .","Mu bice bimwe na bimwe by' u Burayi bw' Iburengerazuba , iryo tegeko ryakomeje kugira akamaro igihe kirekire kubera ko Charlemagne yashingiraga amategeko ye ku mategeko ya Salic .",0.66
Abagore babiri b'abirabura bambaye imyenda y'akataraboneka,Abantu babiri bagwa mu biganza by'abagore,0.41
Umugabo wari uhagaze mu cyumba barimo bubaka.,Itsinda ry'abantu bari ku isoko ry'imbuto,0.19
"Ababyeyi bawe ntibagomba gukunda umukunzi wawe, ahubwo ni wowe ubikunda.","Ababyeyi bawe ntibagomba gukunda imyenda yawe, ahubwo wowe ni ko ubigenza.",1.0
Umukobwa muto aryamye ku divayi afite umutereko mu gituza no munsi y'umutwe.,Abana babiri barara ku gatuza k'umugabo.,0.56
"Kugeza vuba aha , abantu bafataga injangwe zitukura bakazigurisha mu busitani bw' inyamaswa .","Mu myaka ya vuba aha , ibinyabuzima byo mu busitani bw' inyamaswa byo mu Buyapani birimo byera "" ibishishwa "" byitwa "" Red Pandas "" .",0.62
@realDonaldTrump agiye kujya kuri @greta show ubu! #greta #TrumpIsRight,"Gusa nshaka guha #shoutout ikomeye umugabo wanjye wa mbere muri iyi minsi, @realDonaldTrump Get 'er done, big guy!!",0.56
Lana ni umugore uri mu buhungiro.,Adamu na Lana bombi bari abantu beza cyane.,0.44
"Aileen, uba kwa nyirakuru, agomba kuba umugore w'umunyabwenge.","Aileen arimo yiga mu ishuri rya Teta Beck afite icyizere cyo kuba umugore w'umunyabwenge wo mu muryango wa Skarr, nk'uko abagore bose bo mu muryango we babigenje.",0.81
@HillaryClinton Umwambaro wa Rainbow? Ese wari uzi ko 4% gusa by'Abanyamerika ari abaryamana bahuje ibitsina? (Ibarura ryo mu 2010) #WhyImNotVotingForHillary,@johnpodesta @HillaryClinton awesome buri mucyefi nyawe akeneye ibi..,0.43
"Ibyo ni ibintu by'urugero rw'abantu bo mu bwoko bwa Orwellian, si byo se?","Mbese, ibyo si ibintu by'Abanya-Orwel?",0.81
Umukobwa muto arimo aciraho impapuro.,Abana babiri bato barambagizanya.,0.12
"Uwo mujyi n' uturere tuwukikije , byanditseho kode ya posita ya Londres SE25 .","Nanone kandi , ushobora guhitamo ahantu hatatu ho mu rwego rw' ubutaka .",0.25
Zakynthos ni umugi wo mu burengerazuba bw' u Bugiriki .,Zakynthos ni umurwa mukuru w'ikirwa cya Zakynthos .,0.75
Sinari mfite ibyiringiro byinshi.,"Nashakaga kureba inkuru y'ibyabaye mu gihe cya Gray King, n'izindi nkuru z'ibyabaye mu gihe cy'ibyabaye mu gihe cy'ibyabaye mu gihe cy'ibyabaye.",0.25
Iki ni cyo gitabo cya mbere cya Jeaniene Frost ntabyo nakunze.,"Kandi uyu ni Jeaniene Frost, komeza!",0.56
Umwijima w'imbeho w'Icyatsi.,Ufite amafaranga y'ubukungu ku gihe cy'imbeho.,0.34
"Umuntu wese urwanya perezida @realDonaldTrump 4, nta cyizere afite cyo kugira icyo ageraho no kugira ubushobozi bwo kutugirira.","@realDonaldTrump Reka tubyemere, twabaye ishyanga ridakora, ritagira icyo rivuga, riyobowe n'abagizi ba nabi, n'abaharanira kongera gusaranganya.",0.5
"Mu mizo ya mbere, nashatse gusoma icyo gitabo kuko nakundaga cyane igitabo cyitwa Fangirl cyanditswe na Rainbow Rowell.","Ndagira inama ikomeye y'iki gitabo, cyane cyane niba waramaze gusoma ""Fangirl"".",0.81
Mickey Mouse aracyariho kandi yariho kuva mu ntangiriro.,Umuhanzikazi nkunda cyane wa Disney ni Mickey Mouse.,0.59
Dragon Ball Z ndabona ishobora gukururwa.,Dragon Ball Z ntekereza ko DB GT ari nini cyane?,0.72
Ntekereza ko ugomba gutegereza kugeza igihe uzaba ugeze mu za bukuru bihagije kugira ngo ushobore guhangana n'iki kibazo.,Iyo utekereje ko uri umuntu ukuze bihagije kugira ngo ushobore guhangana n'ikibazo cyo gushakana n'umugabo!,0.84
Dresden Files ihura na Harry Potter mu buryo bw'uko yari afite Neil Gaiman.,"Uyu musore yarenze Neil Gaiman, Jim Butcher ndetse hafi cyane (ariko si cyane) yashyize Terry Pratchett ku rutonde rw'abanditsi nkunda.",0.53
Abashinzwe kubahiriza amategeko barimo bakora ingendo zikomeye mu karere k'umugi.,"Itsinda ry'abatabazi bambaye imyenda igaragaza neza, ramanuka ku rwego rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwari rwarashyizemo imyanda y'umutuku.",0.31
"@liars_never_win @HillaryClinton shhh, jya unzanira icyayi gishyuye.....","@Todayshow @ChrisChristie ntabwo afite ibyangombwa b/c arya amadolari 82,000 mu byokurya byoroheje & b/c ya D ruswa ya #Bridgegate A BIG FAT BULLY!",0.28
@realDonaldTrump Bajye kubarasa Bwana Trump!!!,Kuba Trump atora cyane bigaragaza ko ishyaka ritagomba gufatwa uko ryakabaye.,0.44
Yashyizwe ku mwanya wa 4 ku isi nk'uko `` The DJ List' 'bivuga.,Yashyizwe ku rutonde rw ' aba Dj bakomeye ku isi ku isi ku rwego rwa 25 n ' ikinyamakuru DJ Magazine .,0.59
Abafana bakunda umukobwa ukora igikorwa cya mbere.,"Hip-hop ituma umuntu ashaka kubyuka no kubyina, akagenda.",0.28
Sinzi niba hari umuntu uriho muri iki gihe.,Nkunda umukobwa ariko muri iki gihe ntaramenya ko nkunda uwo mukobwa.,0.12
umukinnyi wa tenisi akubita umupira.,Umwana wicaye ku mupira w'umupira mu busitani.,0.1
Neryn akomeza urugendo rwe yiga ibyo akeneye kugira ngo abe uwo wese yifuza ko aba we.,Ingorane abagore babiri bahuraga na zo igihe babaga bagenda bonyine mu cyaro zari zitandukanye n'izo Neryn yahuraga na zo igihe yajyanaga na Flint mu mudugudu wa Shadowfell.,0.47
Jane arimo agerageza kwinjiza ibirenge bye mu mubiri we kugira ngo amenyere kubaho nk'umunyabyaha.,"Nk'uko bisanzwe, ibibazo buri gihe biba bibonera inzira ya Jane.",0.47
"Ufite ikintu cy'u Bufaransa, kandi naje kugikuraho.",Ndi hano kubera ikintu cy'u Bufaransa.,0.84
"Mu buryo bushishikaje, inkuru za Fitz n'iz'Inzovu z'ubuzima zagiye zishyirwa hamwe.",Ni iherezo rifite imbaraga zidasanzwe ry'inkuru ya Fitz n'umusazi.,0.56
"Hari inkuru eshanu, zose zishimishije kandi zitanga amakuru y'ibyabaye ku isi ya HP.","Nashimishijwe no gusoma ibyo Dumbledore yavuze nyuma ya buri nkuru, bituma mbona akamaro kayo mu isi y'abashitsi.",0.5
"Mu mwaka wa 1999 , Lucy Lawless na we yagaragaye muri televiziyo ya animated The Simpsons nk' umukozi we witwa Xena .","Mu mwaka wa 2006 , Lucy Lawless yatanze impano y' imyenda ye bwite ya Xena ku Nzu ndangamurage y' Amateka ya Amerika .",0.56
Iki gitabo cyari gitandukanye cyane n'ibindi byose nasomye.,Nahisemo gusoma mu buryo butandukanye n'ubwo.,0.38
Mbese Kitty n'abandi bose bashobora kurokoka kugeza ubwo ubukwe buzaba?,"Nanone kandi, ubwo bukwe bwari uburyo bwiza bwo gutandukanya abantu n'ibindi bintu byari mu kiganiro.",0.59
"John O'Donnell, wahoze ari perezida wa Trump Plaza Hotel & Casino... @realDonaldTrump yavuze ko ""ubushonje ari umuco w'abirabura.",@FFRNNU wenda #MSM yagombye kuvuga byinshi kuri ibi aho kuvuga cyane ibendera n'amatafari.,0.25
Lovrin 515 * RO 1002 T M (6),Serrano * ES 4705 D m (2),0.22
Inkuru ya Jasper ni imwe mu ngingo nkunda cyane mu gitabo.,"Nk'uko inkuru ya Rosalie ari iy'umwijima, iy'uwitwa Jasper na yo ni iy'umwijima.",0.44
Buri gihe yari ahari.,Twamaranye na we igihe cyose.,0.72
Hari umugabo w'umusaza wambaye umwenda w'ubururu urimo akina.,Umugabo ufite imisatsi y'uruhu n'idubu yicaye ku ntebe ku muhanda afite gitari iruhande rwe.,0.44
@Macys ntashobora kugurisha Trump kuko avuga ibitekerezo bye... ndishimye cyane ku bw'umudendezo wo kuvuga... sinzongera kugura kuri @Macys ukundi..,Mfite imyaka ine mu nzu y'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibikoresho by'ibushushinzi.,0.12
Imbeba z' imbwa z' umukungugu zigaragaza ko zisaba kurwara indwara z' imyuka ihumanya ibinyabuzima kurusha imbwa z' i Burayi .,Imbeba z' imbwa z' umukungugu ntizifata indwara ya myxomatosis mu buryo bworoshye nk' imbwa z' i Burayi .,0.94
"Imikino ikoresha ubwoko bumwe gusa bw' ibiceri , si kenshi iba ikeneye ko ibiceri byandikwa mu buryo bugoye .","Hari imikino ikinwa n' ibiceri bibiri , naho hari n' ibicuruzwa bikoreshwa n ' kimwe gusa .",0.72
Umugabo wambaye ikanzu y'icyatsi cy'umweru yicaye imbere ya orudinateri ku biro.,Umugabo wambaye umwenda wa orange arimo avugana na mudasobwa.,0.67
@thehill @greta @realDonaldTrump Ubu uzi ko ibumoso bufite ubwoba bw'umukuru w'igihugu ku banyapolitiki <Hang there Donald,Nkunda abaturage ba Mexico ariko barusha ubwenge twe tugomba kubahagarika!,0.31
"Igice cya mbere cyari ibintu twari tumaze gusoma mu gitabo cyabanjirije icyo, kandi nta kintu gishya cy'ingenzi cyagaragaye.",Ese uyu mutegetsi w'umunya-Mafi arimo arandura urugendo rw'urukundo rw'inkoramutima rw'ibitabo bibiri bya mbere?,0.31
Amazi ya Niagara agabanyijemo amazi ya Horseshoe n ' amazi ya Amerika .,Amazi menshi ya Horseeshoe ni yo manini cyane kurusha andi atatu .,0.66
"Ishoramari rya LendingTree ryashinzwe mu 1996, rigizwe n'amabanki asaga 200, abaguha inguzanyo n'abacuruzi.","LendingTree ihurizaho abakoresha imyenda kuri interineti n'abakozi bo mu bigo by'ubucuruzi birenga 200, amabanki n'abandi bahabwa imyenda.",0.75
